Date,Curah Hujan Johor_MY,Curah Hujan Kalbar_ID,Curah Hujan Kalteng_ID,Curah Hujan Pahang_MY,Curah Hujan Riau_ID,Curah Hujan Sabah_MY,Curah Hujan Sarawak_MY,Curah Hujan Sumut_ID
2017-04-10,2.59,7.27,2.0,1.96,4.32,4.06,1.63,14.34
2017-04-11,7.9,3.14,0.3,6.49,0.92,0.25,1.77,14.77
2017-04-12,8.5,9.62,6.41,5.95,11.12,0.39,4.43,5.41
2017-04-13,17.47,16.16,4.34,9.46,7.24,3.94,4.35,2.12
2017-04-17,1.05,1.11,13.01,6.89,55.37,3.66,13.61,4.46
2017-04-18,9.96,21.57,13.85,15.91,7.45,1.45,3.06,5.8
2017-04-19,4.21,9.45,13.74,12.04,4.71,1.74,12.08,0.05
2017-04-20,4.27,0.9,4.26,7.54,7.77,2.38,7.73,4.34
2017-04-21,5.04,8.47,13.96,16.26,6.97,1.45,5.45,10.05
2017-04-25,16.15,9.2,4.19,4.3,9.07,10.28,0.85,27.83
2017-04-26,19.94,6.02,2.55,25.38,19.99,3.52,4.46,13.58
2017-04-27,5.86,10.25,29.29,1.69,27.32,2.55,4.6,1.86
2017-04-28,9.72,10.85,17.15,4.44,6.81,3.22,3.46,7.95
2017-05-02,2.34,7.48,66.74,13.43,3.6,1.75,11.33,11.58
2017-05-03,4.52,0.43,22.87,8.53,1.7,1.13,2.98,9.31
2017-05-04,4.45,15.26,4.22,9.77,14.58,1.61,25.86,34.72
2017-05-05,6.1,11.54,4.71,5.43,10.65,18.36,19.77,19.29
2017-05-08,0.64,0.77,0.21,7.43,0.93,5.64,9.27,0.91
2017-05-09,12.49,0.12,21.66,6.48,45.46,0.5,0.84,2.11
2017-05-11,4.41,17.24,19.74,8.04,0.96,22.31,34.29,33.67
2017-05-12,3.89,8.37,7.55,2.4,4.36,8.63,12.26,7.58
2017-05-15,4.97,11.4,2.06,0.27,5.12,7.53,2.89,4.98
2017-05-16,3.06,18.33,3.0,2.05,6.09,5.08,2.78,0.08
2017-05-17,5.65,11.07,1.02,1.58,2.04,4.41,10.81,15.33
2017-05-18,11.02,7.11,0.64,2.02,5.03,1.91,6.94,11.37
2017-05-19,7.68,5.6,85.65,2.59,5.68,6.37,4.47,2.1
2017-05-22,10.34,0.21,0.66,8.19,5.69,9.35,22.73,3.98
2017-05-23,3.37,0.17,8.59,9.9,2.43,4.35,19.75,0.71
2017-05-24,19.01,35.73,17.24,6.12,0.88,4.54,8.31,0.68
2017-05-25,10.66,6.48,5.4,7.04,0.92,5.84,15.82,0.08
2017-05-26,27.07,32.57,2.6,3.98,0.79,6.19,4.9,0.03
2017-05-29,7.62,8.11,11.49,10.43,21.32,1.27,2.29,0.71
2017-05-30,5.43,1.01,3.71,6.02,16.8,9.29,3.04,19.78
2017-05-31,11.59,4.69,4.72,7.89,22.2,3.88,2.7,16.94
2017-06-01,10.55,32.39,7.63,10.17,2.47,6.77,28.76,4.44
2017-06-02,0.19,21.65,21.2,1.36,0.04,6.81,14.67,1.36
2017-06-05,3.23,0.0,0.01,3.66,0.31,3.79,7.23,1.31
2017-06-06,0.8,0.0,0.5,0.8,1.0,0.89,1.43,0.22
2017-06-07,0.59,0.14,3.43,0.04,0.3,4.17,0.42,0.0
2017-06-08,1.78,0.07,1.17,0.04,9.51,2.04,0.13,0.09
2017-06-09,1.44,8.31,0.92,0.14,6.46,9.29,4.81,1.76
2017-06-13,4.79,2.91,9.49,5.81,34.85,4.52,0.5,0.19
2017-06-14,3.11,0.28,0.96,1.22,30.59,0.74,16.91,0.18
2017-06-15,1.82,3.59,0.98,5.09,5.08,4.56,25.94,0.0
2017-06-16,10.06,0.98,0.94,12.04,2.06,1.44,0.26,0.17
2017-06-19,6.05,13.56,22.62,13.89,0.33,23.32,14.73,0.22
2017-06-20,4.3,2.33,3.34,0.61,0.05,10.24,4.72,0.06
2017-06-21,8.84,0.35,3.47,9.37,0.17,1.98,2.76,0.99
2017-06-22,6.92,0.29,28.16,9.35,49.71,0.49,0.88,1.45
2017-06-23,11.53,5.5,8.94,6.68,37.55,3.03,0.66,6.59
2017-06-28,2.44,0.56,8.04,7.15,9.05,30.93,8.63,7.67
2017-06-29,8.29,2.72,0.63,3.81,25.82,27.13,4.72,19.3
